"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","HUR","MEN","PC_LF","M","2011-12",22.7,
"ESP","HUR","MEN","PC_LF","M","2012-01",23,
"ESP","HUR","MEN","PC_LF","M","2012-02",23.4,
"ESP","HUR","MEN","PC_LF","M","2012-03",23.7,
"ESP","HUR","MEN","PC_LF","M","2012-04",24.2,
"ESP","HUR","MEN","PC_LF","M","2012-05",24.6,
"ESP","HUR","MEN","PC_LF","M","2012-06",24.8,
"ESP","HUR","MEN","PC_LF","M","2012-07",25,
"ESP","HUR","MEN","PC_LF","M","2012-08",25,
"ESP","HUR","MEN","PC_LF","M","2012-09",25.2,
"ESP","HUR","MEN","PC_LF","M","2012-10",25.3,
"ESP","HUR","MEN","PC_LF","M","2012-11",25.6,
"ESP","HUR","MEN","PC_LF","M","2012-12",25.7,
"ESP","HUR","MEN","PC_LF","M","2013-01",26,
"ESP","HUR","MEN","PC_LF","M","2013-02",26.1,
"ESP","HUR","MEN","PC_LF","M","2013-03",25.9,
"ESP","HUR","MEN","PC_LF","M","2013-04",25.6,
"ESP","HUR","MEN","PC_LF","M","2013-05",25.6,
"ESP","HUR","MEN","PC_LF","M","2013-06",25.6,
"ESP","HUR","MEN","PC_LF","M","2013-07",25.8,
"ESP","HUR","MEN","PC_LF","M","2013-08",25.7,
"ESP","HUR","MEN","PC_LF","M","2013-09",25.6,
"ESP","HUR","MEN","PC_LF","M","2013-10",25.4,
"ESP","HUR","MEN","PC_LF","M","2013-11",25.2,
"ESP","HUR","MEN","PC_LF","M","2013-12",24.9,
"ESP","HUR","MEN","PC_LF","M","2014-01",25,
"ESP","HUR","MEN","PC_LF","M","2014-02",24.8,
"ESP","HUR","MEN","PC_LF","M","2014-03",24.5,
"ESP","HUR","MEN","PC_LF","M","2014-04",24.1,
"ESP","HUR","MEN","PC_LF","M","2014-05",23.8,
"ESP","HUR","MEN","PC_LF","M","2014-06",23.4,
"ESP","HUR","MEN","PC_LF","M","2014-07",23.2,
"ESP","HUR","MEN","PC_LF","M","2014-08",22.9,
"ESP","HUR","MEN","PC_LF","M","2014-09",22.8,
"ESP","HUR","MEN","PC_LF","M","2014-10",23,
"ESP","HUR","MEN","PC_LF","M","2014-11",22.9,
"ESP","HUR","MEN","PC_LF","M","2014-12",22.8,
"ESP","HUR","MEN","PC_LF","M","2015-01",22.6,
"ESP","HUR","MEN","PC_LF","M","2015-02",22.2,
"ESP","HUR","MEN","PC_LF","M","2015-03",21.8,
"ESP","HUR","MEN","PC_LF","M","2015-04",21.3,
"ESP","HUR","MEN","PC_LF","M","2015-05",21,
"ESP","HUR","MEN","PC_LF","M","2015-06",20.8,
"ESP","HUR","MEN","PC_LF","M","2015-07",20.5,
"ESP","HUR","MEN","PC_LF","M","2015-08",20.3,
"ESP","HUR","MEN","PC_LF","M","2015-09",20.1,
"ESP","HUR","MEN","PC_LF","M","2015-10",19.9,
"ESP","HUR","MEN","PC_LF","M","2015-11",19.5,
"ESP","HUR","MEN","PC_LF","M","2015-12",19.4,
"ESP","HUR","MEN","PC_LF","M","2016-01",19.1,
"ESP","HUR","MEN","PC_LF","M","2016-02",19,
"ESP","HUR","MEN","PC_LF","M","2016-03",18.8,
"ESP","HUR","MEN","PC_LF","M","2016-04",18.7,
"ESP","HUR","MEN","PC_LF","M","2016-05",18.5,
"ESP","HUR","MEN","PC_LF","M","2016-06",18.2,
"ESP","HUR","MEN","PC_LF","M","2016-07",17.9,
