,GoldDiff
2442,8835
2443,9959
2444,14256
2445,5417
2446,12600
2447,9070
2448,12021
2449,11173
2450,8644
2451,10811
2452,10667
2453,13334
2454,6501
2455,5750
2456,5198
2457,4891
2458,8597
2459,6966
2460,4589
2461,8817
2462,4054
2463,5978
2464,7941
2465,5631
2466,14762
2467,8443
2468,9574
2469,7644
2470,8210
2471,9610
2472,8525
2473,12076
2474,16419
2475,10044
2476,6601
2477,7016
2478,3198
2479,9366
2480,6749
2481,12266
2482,10182
2483,12711
2484,8722
2485,10251
2486,10796
2487,11004
2488,13690
2489,7248
2490,5488
2491,13275
2492,6469
2493,10067
