"COUNTRY","Pays","SERIES","Séries","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2018","2018","EUR","Euro","0","Unités","2020","2020",16767.3596886268,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2019","2019","EUR","Euro","0","Unités","2020","2020",16974.5944404452,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2020","2020","EUR","Euro","0","Unités","2020","2020",17098.5787972693,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2000","2000","HUF","Forint","0","Unités","2020","2020",2685757.828326,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2001","2001","HUF","Forint","0","Unités","2020","2020",2889537.24245469,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2002","2002","HUF","Forint","0","Unités","2020","2020",3034104.2466448,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2003","2003","HUF","Forint","0","Unités","2020","2020",3277838.12816671,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2004","2004","HUF","Forint","0","Unités","2020","2020",3506392.49919634,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2005","2005","HUF","Forint","0","Unités","2020","2020",3660502.50480834,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2006","2006","HUF","Forint","0","Unités","2020","2020",3731526.97765815,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2007","2007","HUF","Forint","0","Unités","2020","2020",3704247.79948813,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2008","2008","HUF","Forint","0","Unités","2020","2020",3756241.69944877,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2009","2009","HUF","Forint","0","Unités","2020","2020",3542059.09871332,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2010","2010","HUF","Forint","0","Unités","2020","2020",3588755.97000354,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2011","2011","HUF","Forint","0","Unités","2020","2020",3634895.70157421,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2012","2012","HUF","Forint","0","Unités","2020","2020",3513688.0673867,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2013","2013","HUF","Forint","0","Unités","2020","2020",3476850.93407574,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2014","2014","HUF","Forint","0","Unités","2020","2020",3431266.19446033,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2015","2015","HUF","Forint","0","Unités","2020","2020",3457713.93937367,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2016","2016","HUF","Forint","0","Unités","2020","2020",3489208.92178845,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2017","2017","HUF","Forint","0","Unités","2020","2020",3741737.76881434,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2018","2018","HUF","Forint","0","Unités","2020","2020",3929674.15840993,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2019","2019","HUF","Forint","0","Unités","2020","2020",4053961.33910814,,
"HUN","Hongrie","CNPNCU","en prix constants 2020 et en monnaie nationale ","2020","2020","HUF","Forint","0","Unités","2020","2020",4209324.39098576,,
