Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;13;6;;;OUI;OUI;2022-03-10T17:58:29+01:00;;;
;;OUI;;21;9;;;OUI;OUI;2022-03-10T17:57:22+01:00;;;
;;OUI;;17;7;;;OUI;OUI;2022-03-10T17:58:14+01:00;;;
;;OUI;;19;5;;;OUI;OUI;2022-03-10T17:52:59+01:00;;;
;;OUI;;49;1;;;OUI;OUI;2022-03-10T17:53:09+01:00;;;
;;OUI;;23;3;;;OUI;OUI;2022-03-10T17:55:29+01:00;;;
;;OUI;;34;30;;;OUI;OUI;2022-03-10T17:58:36+01:00;;;
;;OUI;;21;6;;;OUI;OUI;2022-03-10T17:56:31+01:00;;;
;;OUI;;15;1;;;OUI;OUI;2022-03-10T17:55:02+01:00;;;
;;OUI;;2;22;;;OUI;OUI;2022-03-10T17:58:42+01:00;;;
;;OUI;;18;2;;;OUI;OUI;2022-03-10T17:53:56+01:00;;;
;;OUI;;13;14;;;OUI;OUI;2022-03-10T17:57:03+01:00;;;
;;OUI;;3;48;;;OUI;OUI;2022-03-10T17:57:50+01:00;;;
;;OUI;;30;3;;;OUI;OUI;2022-03-10T17:56:29+01:00;;;
;;OUI;;23;2;;;OUI;OUI;2022-03-10T17:56:43+01:00;;;
;;OUI;;49;8;;;OUI;OUI;2022-03-10T17:58:41+01:00;;;
;;OUI;;16;14;;;OUI;OUI;2022-03-10T17:56:46+01:00;;;
;;OUI;;20;3;;;OUI;OUI;2022-03-10T17:55:54+01:00;;;
;;OUI;;25;1;;;OUI;OUI;2022-03-10T17:51:45+01:00;;;
;;OUI;;14;6;;;OUI;OUI;2022-03-10T17:58:14+01:00;;;
;;OUI;;18;2;;;OUI;OUI;2022-03-10T17:57:58+01:00;;;
;;OUI;;28;4;;;OUI;OUI;2022-03-10T17:56:51+01:00;;;
;;OUI;;44;11;;;OUI;OUI;2022-03-10T17:58:47+01:00;;;
;;OUI;;19;3;;;OUI;OUI;2022-03-10T17:56:31+01:00;;;
;;OUI;;3;28;;;OUI;OUI;2022-03-10T17:58:24+01:00;;;
;;OUI;;6;18;;;OUI;OUI;2022-03-10T17:57:39+01:00;;;
;;OUI;;6;13;;;OUI;OUI;2022-03-10T17:58:42+01:00;;;
;;OUI;;20;0;;;OUI;OUI;2022-03-10T17:50:19+01:00;;;
;;OUI;;18;10;;;OUI;OUI;2022-03-10T17:58:16+01:00;;;
;;OUI;;26;17;;;OUI;OUI;2022-03-10T17:58:26+01:00;;;
;;OUI;;31;6;;;OUI;OUI;2022-03-10T17:58:22+01:00;;;
;;OUI;;15;21;;;OUI;OUI;2022-03-10T17:58:28+01:00;;;
;;OUI;;19;3;;;OUI;OUI;2022-03-10T17:56:05+01:00;;;
;;OUI;;30;3;;;OUI;OUI;2022-03-10T17:56:41+01:00;;;
;;OUI;;35;0;;;NON;NON;2022-03-10T17:48:57+01:00;;;
;;OUI;;21;7;;;OUI;OUI;2022-03-10T17:57:02+01:00;;;
;;OUI;;12;37;;;OUI;OUI;2022-03-10T17:58:30+01:00;;;
;;OUI;;37;8;;;OUI;OUI;2022-03-10T17:57:14+01:00;;;
;;OUI;;7;21;;;OUI;OUI;2022-03-10T17:57:57+01:00;;;
;;OUI;;12;45;;;OUI;OUI;2022-03-10T17:52:55+01:00;;;
;;OUI;;15;12;;;OUI;OUI;2022-03-10T17:57:55+01:00;;;
;;OUI;;19;1;;;OUI;OUI;2022-03-10T17:56:14+01:00;;;
;;OUI;;21;10;;;OUI;OUI;2022-03-10T17:57:47+01:00;;;
;;OUI;;32;1;;;OUI;OUI;2022-03-10T17:56:22+01:00;;;
;;OUI;;30;4;;;OUI;OUI;2022-03-10T17:56:01+01:00;;;
;;OUI;;17;7;;;OUI;OUI;2022-03-10T17:58:42+01:00;;;
;;OUI;;19;15;;;OUI;OUI;2022-03-10T17:56:09+01:00;;;
;;OUI;;40;2;;;OUI;OUI;2022-03-10T17:57:45+01:00;;;
;;OUI;;22;4;;;OUI;OUI;2022-03-10T17:55:42+01:00;;;
;;OUI;;45;5;;;OUI;OUI;2022-03-10T17:57:23+01:00;;;
;;OUI;;18;1;;;OUI;OUI;2022-03-10T17:57:17+01:00;;;
;;OUI;;24;5;;;OUI;OUI;2022-03-10T17:56:55+01:00;;;
;;OUI;;23;3;;;OUI;OUI;2022-03-10T17:58:21+01:00;;;
;;OUI;;16;6;;;OUI;OUI;2022-03-10T17:55:10+01:00;;;
;;OUI;;30;8;;;OUI;OUI;2022-03-10T17:54:15+01:00;;;
;;OUI;;8;18;;;OUI;OUI;2022-03-10T17:56:24+01:00;;;
;;OUI;;5;33;;;OUI;OUI;2022-03-10T17:58:16+01:00;;;
;;OUI;;25;9;;;OUI;OUI;2022-03-10T17:56:07+01:00;;;
;;OUI;;12;6;;;OUI;OUI;2022-03-10T17:54:33+01:00;;;
;;OUI;;24;2;;;OUI;OUI;2022-03-10T17:58:12+01:00;;;
;;OUI;;17;35;;;OUI;OUI;2022-03-10T17:58:39+01:00;;;
;;OUI;;30;2;;;OUI;OUI;2022-03-10T17:57:14+01:00;;;
;;OUI;;35;23;;;OUI;OUI;2022-03-10T17:58:32+01:00;;;
;;OUI;;37;1;;;OUI;OUI;2022-03-10T17:58:12+01:00;;;
;;OUI;;26;7;;;OUI;OUI;2022-03-10T17:57:40+01:00;;;
;;OUI;;49;2;;;OUI;OUI;2022-03-10T17:57:26+01:00;;;
;;OUI;;48;15;;;OUI;OUI;2022-03-10T17:56:06+01:00;;;
